,Longitude,Latitude,Value
0,120.84,21.939999999999998,28.1
1,120.72,21.97,28.6
2,120.75,21.97,28.6
3,120.78,21.97,27.8
4,120.81,21.97,26.5
5,120.84,21.97,28.7
6,120.72,22.0,28.6
7,120.75,22.0,28.6
8,120.78,22.0,28.1
9,120.81,22.0,28.5
10,120.84,22.0,28.6
11,120.72,22.029999999999998,28.5
12,120.75,22.029999999999998,28.6
13,120.78,22.029999999999998,26.7
14,120.81,22.029999999999998,27.5
15,120.84,22.029999999999998,28.2
16,120.87,22.029999999999998,26.5
17,121.56,22.029999999999998,27.0
18,120.72,22.06,28.7
19,120.75,22.06,28.6
20,120.78,22.06,28.1
21,120.81,22.06,28.1
22,120.84,22.06,26.9
23,120.87,22.06,27.4
24,121.53,22.06,26.9
25,120.72,22.09,28.7
26,120.75,22.09,28.7
27,120.78,22.09,27.7
28,120.81,22.09,26.4
29,120.84,22.09,26.9
30,120.87,22.09,26.7
31,120.72,22.119999999999997,28.4
32,120.75,22.119999999999997,27.9
33,120.78,22.119999999999997,28.2
34,120.81,22.119999999999997,25.9
35,120.84,22.119999999999997,26.7
36,120.87,22.119999999999997,28.4
37,120.72,22.15,26.8
38,120.75,22.15,27.2
39,120.78,22.15,27.9
40,120.81,22.15,26.8
41,120.84,22.15,25.7
42,120.87,22.15,28.6
43,120.72,22.18,26.1
44,120.75,22.18,26.7
45,120.78,22.18,25.7
46,120.81,22.18,26.0
47,120.84,22.18,26.5
48,120.87,22.18,28.7
49,120.72,22.209999999999997,28.6
50,120.75,22.209999999999997,27.1
51,120.78,22.209999999999997,27.8
52,120.81,22.209999999999997,26.9
53,120.84,22.209999999999997,26.2
54,120.87,22.209999999999997,27.1
55,120.69,22.24,28.3
56,120.72,22.24,26.2
57,120.75,22.24,25.6
58,120.78,22.24,26.8
59,120.81,22.24,25.9
60,120.84,22.24,26.2
61,120.87,22.24,27.6
62,120.66,22.27,28.0
63,120.69,22.27,28.3
64,120.72,22.27,28.2
65,120.75,22.27,26.9
66,120.78,22.27,26.0
67,120.81,22.27,24.4
68,120.84,22.27,28.0
69,120.87,22.27,28.1
70,120.66,22.3,27.7
71,120.69,22.3,25.7
72,120.72,22.3,24.8
73,120.75,22.3,24.4
74,120.78,22.3,22.2
75,120.81,22.3,27.3
76,120.84,22.3,28.3
77,120.87,22.3,28.8
78,120.36,22.33,27.6
79,120.63,22.33,28.9
80,120.66,22.33,27.0
81,120.69,22.33,25.4
82,120.72,22.33,22.3
83,120.75,22.33,24.3
84,120.78,22.33,24.1
85,120.81,22.33,25.8
86,120.84,22.33,27.3
87,120.87,22.33,25.2
88,120.63,22.36,28.5
89,120.66,22.36,26.8
90,120.69,22.36,22.1
91,120.72,22.36,22.1
